gene_id,Cont_JSY,Cont_LCM,Cont_LMH,Cont_LSA,Cont_T13008,IJHC1203,IJHC1215,IJHC1219,IJHC1231,T17012,T17013,T17015,T17019
8030,5108,5097,5409,5527,5512,5862,4621,3453,6767,4642,6617,5629,4940
8038,45354,49582,66355,74868,50526,57373,62627,52193,43099,47800,61863,46033,72149
100130519,31,17,8,0,18,11,6,6,0,6,17,23,23
102723471,0,0,0,0,0,0,0,0,0,0,0,0,0
126661,66,54,76,77,46,77,60,52,71,54,53,63,55
126669,0,0,0,0,0,3,0,0,0,0,0,0,0
126668,0,0,0,0,0,0,0,0,0,0,0,0,0
150368,2626,1648,2877,2133,2283,2275,2086,1663,2611,2240,2126,1848,1789
2692,0,0,0,0,0,0,0,0,0,0,0,0,0
150365,25,6,0,3,15,0,17,0,9,0,6,6,3
259292,0,0,1,5,4,0,3,0,0,0,3,14,3
127534,0,0,0,0,0,0,0,0,0,0,0,0,0
259290,13,16,18,18,33,23,21,6,17,27,13,19,14
65062,3420,3005,2927,2969,3104,2583,3959,2475,4038,2151,1987,2453,2577
259296,0,0,3,6,0,0,6,3,5,0,0,3,0
259295,147,127,128,77,46,36,92,72,67,62,62,72,70
65061,299,437,465,836,648,522,524,434,1562,398,806,394,734
100379661,14,5,29,18,14,0,5,4,0,0,15,13,6
3512,53,30,23,8,10,16,43,35,0,9,0,8,19
155465,0,0,0,0,0,0,0,0,0,0,0,0,0
3516,8753,12667,10716,14265,10971,12274,14023,8054,15121,10387,9779,9894,17191
81563,2137,1465,1514,2023,1565,1702,1567,1095,1559,1659,1132,1710,1463
81562,1526,1310,1568,2023,1686,1683,2201,1543,2712,1690,1750,1509,1447
81565,7056,5804,6893,7040,7125,5144,7252,5043,8273,4884,4946,4853,4877
81567,30349,10873,35078,14612,17332,42589,51175,36010,63810,35245,32947,28833,31322
81566,5556,4405,4585,4554,3969,4336,4655,3232,5263,3523,4140,4295,3870
81569,0,0,0,3,0,0,0,0,0,0,0,0,0
104909134,5,0,0,4,0,0,2,0,0,0,4,0,0
5869,12814,11099,11959,12917,10344,12560,12735,9528,12347,10034,12533,12086,10939
5868,4864,5097,4796,5938,4775,5503,5446,4132,6397,4441,4477,4901,4989
101928314,0,0,0,0,0,0,0,0,0,0,0,0,0
5864,161,163,141,148,142,252,195,149,321,117,164,140,140
5867,2780,2971,2455,3070,2158,3118,2402,2093,2608,2482,2881,2859,2238
5866,542,349,586,381,355,396,431,436,369,609,669,682,620
5861,13134,12047,12761,14563,13720,11140,13489,9757,18250,9716,9712,10506,11354
101928311,0,0,0,0,0,0,0,0,0,0,0,0,0
5863,4847,3162,3441,3507,3123,2413,3337,2499,2874,2848,2795,2904,3374
5862,11064,12544,11583,11950,11530,13789,12224,9334,15316,11505,10446,13087,10481
56848,1590,948,1170,1087,1136,1060,1368,1073,1465,961,1169,1073,930
56849,126,101,42,115,212,36,75,63,127,170,73,26,54
90871,1426,931,1236,1177,1015,1306,1205,909,1800,1154,1308,1041,981
90874,1565,1160,1337,1020,1418,1295,1460,986,1979,1088,1446,1085,1136
64005,0,0,3,0,0,0,0,3,0,0,0,0,0
64002,0,0,0,0,0,0,0,0,0,0,0,0,0
148423,1858,1449,1521,1451,1402,1460,1714,1125,1865,1170,1254,1334,1359
90293,1606,1028,469,1798,550,1172,446,349,959,590,620,709,202
9191,3660,2609,3096,3289,2802,2696,2940,2204,3296,2319,2642,2769,2552
7940,0,2,0,0,0,6,3,6,0,0,0,0,0
9194,1453,1223,1190,1349,1483,1306,1380,1200,1755,1565,1430,1813,1244
7942,810,451,1196,864,767,740,749,715,912,939,902,787,707
9196,133,71,124,61,125,30,117,57,110,45,28,66,76
80380,2061,3493,2526,3918,1806,3001,2156,1358,3899,2969,2099,1645,1501
80381,14784,10841,12638,12385,12598,13960,12147,10128,18711,10798,12298,10287,9699
100288831,0,0,0,0,0,0,0,0,0,0,0,0,0
90121,1429,1084,1443,1488,1435,1299,1296,1043,2125,1243,1046,1044,975
90120,3747,1625,1207,934,3708,5636,3922,3482,5776,908,1717,4233,1427
152274,0,0,0,0,0,0,0,0,0,0,0,0,0
10518,718,436,685,652,406,1058,594,542,566,607,1033,826,641
10519,4280,2845,3997,3752,3970,4097,3677,3055,6192,3229,2939,3137,2456
152273,344,0,3,89,3,14,8,3,0,9,0,11,0
